code,state,date,year,month,month_name,precipitation
MYS.1531893,Kelantan,2017-11,2017,11,November,543.47
MYS.1531894,Kuala Lumpur,2017-11,2017,11,November,403.36
MYS.1531895,Melaka,2017-11,2017,11,November,303.69
MYS.1531896,Negeri Sembilan,2017-11,2017,11,November,312.05
MYS.1531897,Pahang,2017-11,2017,11,November,351.34
MYS.1531898,Perak,2017-11,2017,11,November,460.69
MYS.1531899,Perlis,2017-11,2017,11,November,402.83
MYS.1531900,Pulau Pinang,2017-11,2017,11,November,580.11
MYS.1531901,Sabah,2017-11,2017,11,November,239.55
MYS.1531902,Sarawak,2017-11,2017,11,November,414.07
MYS.1531903,Selangor,2017-11,2017,11,November,425.73
MYS.1531904,Terengganu,2017-11,2017,11,November,467.06
MYS.15337336,Labuan,2017-11,2017,11,November,178.13
MYS.1531891,Johor,2017-12,2017,12,December,235.56
MYS.1531892,Kedah,2017-12,2017,12,December,160.72
MYS.1531893,Kelantan,2017-12,2017,12,December,308.35
MYS.1531894,Kuala Lumpur,2017-12,2017,12,December,199.79
MYS.1531895,Melaka,2017-12,2017,12,December,183.53
MYS.1531896,Negeri Sembilan,2017-12,2017,12,December,211.11
MYS.1531897,Pahang,2017-12,2017,12,December,283.9
MYS.1531898,Perak,2017-12,2017,12,December,220.99
MYS.1531899,Perlis,2017-12,2017,12,December,95.07
MYS.1531900,Pulau Pinang,2017-12,2017,12,December,176.65
MYS.1531901,Sabah,2017-12,2017,12,December,309.25
MYS.1531902,Sarawak,2017-12,2017,12,December,356.4
MYS.1531903,Selangor,2017-12,2017,12,December,196.41
MYS.1531904,Terengganu,2017-12,2017,12,December,375.72
MYS.15337336,Labuan,2017-12,2017,12,December,426.66
MYS.1531891,Johor,2018-01,2018,1,January,402.06
MYS.1531892,Kedah,2018-01,2018,1,January,268.62
MYS.1531893,Kelantan,2018-01,2018,1,January,309.44
MYS.1531894,Kuala Lumpur,2018-01,2018,1,January,337.86
MYS.1531895,Melaka,2018-01,2018,1,January,255.21
MYS.1531896,Negeri Sembilan,2018-01,2018,1,January,302.58
MYS.1531897,Pahang,2018-01,2018,1,January,392.25
MYS.1531898,Perak,2018-01,2018,1,January,363.23
MYS.1531899,Perlis,2018-01,2018,1,January,129.3
MYS.1531900,Pulau Pinang,2018-01,2018,1,January,309.17
MYS.1531901,Sabah,2018-01,2018,1,January,310.11
MYS.1531902,Sarawak,2018-01,2018,1,January,450.44
MYS.1531903,Selangor,2018-01,2018,1,January,271.5
MYS.1531904,Terengganu,2018-01,2018,1,January,411.94
MYS.15337336,Labuan,2018-01,2018,1,January,181.45
MYS.1531891,Johor,2018-02,2018,2,February,62.08
MYS.1531892,Kedah,2018-02,2018,2,February,60.82
MYS.1531893,Kelantan,2018-02,2018,2,February,49.26
MYS.1531894,Kuala Lumpur,2018-02,2018,2,February,96.24
MYS.1531895,Melaka,2018-02,2018,2,February,44.66
MYS.1531896,Negeri Sembilan,2018-02,2018,2,February,56.96
MYS.1531897,Pahang,2018-02,2018,2,February,62.68
MYS.1531898,Perak,2018-02,2018,2,February,75.98
MYS.1531899,Perlis,2018-02,2018,2,February,31.74
MYS.1531900,Pulau Pinang,2018-02,2018,2,February,84.41
MYS.1531901,Sabah,2018-02,2018,2,February,197.42
MYS.1531902,Sarawak,2018-02,2018,2,February,266.91
MYS.1531903,Selangor,2018-02,2018,2,February,76.15
MYS.1531904,Terengganu,2018-02,2018,2,February,95.2
MYS.15337336,Labuan,2018-02,2018,2,February,154.75
MYS.1531891,Johor,2018-03,2018,3,March,151.42
MYS.1531892,Kedah,2018-03,2018,3,March,167.93
MYS.1531893,Kelantan,2018-03,2018,3,March,111.41
MYS.1531894,Kuala Lumpur,2018-03,2018,3,March,281.07
MYS.1531895,Melaka,2018-03,2018,3,March,139.9
MYS.1531896,Negeri Sembilan,2018-03,2018,3,March,156.87
MYS.1531897,Pahang,2018-03,2018,3,March,140.95
MYS.1531898,Perak,2018-03,2018,3,March,203.8
MYS.1531899,Perlis,2018-03,2018,3,March,90.04
MYS.1531900,Pulau Pinang,2018-03,2018,3,March,194.93
MYS.1531901,Sabah,2018-03,2018,3,March,167.03
